Pavarde             Vardas              Nd1       Egzaminas 
Pavarde776          Vardas776           8         8         
Pavarde777          Vardas777           6         9         
Pavarde778          Vardas778           7         1         
Pavarde779          Vardas779           4         6         
Pavarde780          Vardas780           5         2         
Pavarde781          Vardas781           10        8         
Pavarde782          Vardas782           10        9         
Pavarde783          Vardas783           2         10        
Pavarde784          Vardas784           8         10        
Pavarde785          Vardas785           4         6         
Pavarde786          Vardas786           8         2         
Pavarde787          Vardas787           8         3         
Pavarde788          Vardas788           8         4         
Pavarde789          Vardas789           2         5         
Pavarde790          Vardas790           1         10        
Pavarde791          Vardas791           6         1         
Pavarde792          Vardas792           3         2         
Pavarde793          Vardas793           9         2         
Pavarde794          Vardas794           4         9         
Pavarde795          Vardas795           6         3         
Pavarde796          Vardas796           7         1         
Pavarde797          Vardas797           7         10        
Pavarde798          Vardas798           9         3         
Pavarde799          Vardas799           3         6         
Pavarde800          Vardas800           10        2         
Pavarde801          Vardas801           10        4         
Pavarde802          Vardas802           5         1         
Pavarde803          Vardas803           5         10        
Pavarde804          Vardas804           10        2         
Pavarde805          Vardas805           4         8         
Pavarde806          Vardas806           1         6         
Pavarde807          Vardas807           10        4         
Pavarde808          Vardas808           3         6         
Pavarde809          Vardas809           7         5         
Pavarde810          Vardas810           8         5         
Pavarde811          Vardas811           1         10        
Pavarde812          Vardas812           4         6         
Pavarde813          Vardas813           7         4         
Pavarde814          Vardas814           10        7         
Pavarde815          Vardas815           1         5         
Pavarde816          Vardas816           3         8         
Pavarde817          Vardas817           2         2         
Pavarde818          Vardas818           5         8         
Pavarde819          Vardas819           8         8         
Pavarde820          Vardas820           10        8         
Pavarde821          Vardas821           7         2         
Pavarde822          Vardas822           2         8         
Pavarde823          Vardas823           4         8         
Pavarde824          Vardas824           7         1         
Pavarde825          Vardas825           3         10        
Pavarde826          Vardas826           8         3         
Pavarde827          Vardas827           9         5         
Pavarde828          Vardas828           7         9         
Pavarde829          Vardas829           2         1         
Pavarde830          Vardas830           6         2         
Pavarde831          Vardas831           8         6         
Pavarde832          Vardas832           10        6         
Pavarde833          Vardas833           6         5         
Pavarde834          Vardas834           5         1         
Pavarde835          Vardas835           7         9         
Pavarde836          Vardas836           2         8         
Pavarde837          Vardas837           6         3         
Pavarde838          Vardas838           1         7         
Pavarde839          Vardas839           10        9         
Pavarde840          Vardas840           3         4         
Pavarde841          Vardas841           7         5         
Pavarde842          Vardas842           1         2         
Pavarde843          Vardas843           8         6         
Pavarde844          Vardas844           1         8         
Pavarde845          Vardas845           2         3         
Pavarde846          Vardas846           3         1         
Pavarde847          Vardas847           6         1         
Pavarde848          Vardas848           10        5         
Pavarde849          Vardas849           10        10        
Pavarde850          Vardas850           2         9         
Pavarde851          Vardas851           4         1         
Pavarde852          Vardas852           3         4         
Pavarde853          Vardas853           10        9         
Pavarde854          Vardas854           1         4         
Pavarde855          Vardas855           4         3         
Pavarde856          Vardas856           10        1         
Pavarde857          Vardas857           9         1         
Pavarde858          Vardas858           8         6         
Pavarde859          Vardas859           2         7         
Pavarde860          Vardas860           9         9         
Pavarde861          Vardas861           2         2         
Pavarde862          Vardas862           4         10        
Pavarde863          Vardas863           1         4         
Pavarde864          Vardas864           3         8         
Pavarde865          Vardas865           8         8         
Pavarde866          Vardas866           5         1         
Pavarde867          Vardas867           7         2         
Pavarde868          Vardas868           5         8         
Pavarde869          Vardas869           1         5         
Pavarde870          Vardas870           5         9         
Pavarde871          Vardas871           1         7         
Pavarde872          Vardas872           3         1         
Pavarde873          Vardas873           3         7         
Pavarde874          Vardas874           10        7         
Pavarde875          Vardas875           9         6         
Pavarde876          Vardas876           2         3         
Pavarde877          Vardas877           2         7         
Pavarde878          Vardas878           10        3         
Pavarde879          Vardas879           1         10        
Pavarde880          Vardas880           8         1         
Pavarde881          Vardas881           6         10        
Pavarde882          Vardas882           10        5         
Pavarde883          Vardas883           5         1         
Pavarde884          Vardas884           4         10        
Pavarde885          Vardas885           2         9         
Pavarde886          Vardas886           4         3         
Pavarde887          Vardas887           8         7         
Pavarde888          Vardas888           9         3         
Pavarde889          Vardas889           7         7         
Pavarde890          Vardas890           10        7         
Pavarde891          Vardas891           10        8         
Pavarde892          Vardas892           1         7         
Pavarde893          Vardas893           2         3         
Pavarde894          Vardas894           6         1         
Pavarde895          Vardas895           4         5         
Pavarde896          Vardas896           2         3         
Pavarde897          Vardas897           8         8         
Pavarde898          Vardas898           2         8         
Pavarde899          Vardas899           5         1         
Pavarde900          Vardas900           1         7         
Pavarde901          Vardas901           7         6         
Pavarde902          Vardas902           2         3         
Pavarde903          Vardas903           5         5         
Pavarde904          Vardas904           3         7         
Pavarde905          Vardas905           2         7         
Pavarde906          Vardas906           5         5         
Pavarde907          Vardas907           5         4         
Pavarde908          Vardas908           6         6         
Pavarde909          Vardas909           8         10        
Pavarde910          Vardas910           9         1         
Pavarde911          Vardas911           10        2         
Pavarde912          Vardas912           3         4         
Pavarde913          Vardas913           5         10        
Pavarde914          Vardas914           1         9         
Pavarde915          Vardas915           1         9         
Pavarde916          Vardas916           9         2         
Pavarde917          Vardas917           2         8         
Pavarde918          Vardas918           6         1         
Pavarde919          Vardas919           5         2         
Pavarde920          Vardas920           3         9         
Pavarde921          Vardas921           6         3         
Pavarde922          Vardas922           4         1         
Pavarde923          Vardas923           3         8         
Pavarde924          Vardas924           4         6         
Pavarde925          Vardas925           10        2         
Pavarde926          Vardas926           10        10        
Pavarde927          Vardas927           10        9         
Pavarde928          Vardas928           1         3         
Pavarde929          Vardas929           5         1         
Pavarde930          Vardas930           7         2         
Pavarde931          Vardas931           6         8         
Pavarde932          Vardas932           10        7         
Pavarde933          Vardas933           3         7         
Pavarde934          Vardas934           6         4         
Pavarde935          Vardas935           4         2         
Pavarde936          Vardas936           4         1         
Pavarde937          Vardas937           4         4         
Pavarde938          Vardas938           7         5         
Pavarde939          Vardas939           3         4         
Pavarde940          Vardas940           5         3         
Pavarde941          Vardas941           6         1         
Pavarde942          Vardas942           8         10        
Pavarde943          Vardas943           6         8         
Pavarde944          Vardas944           3         3         
Pavarde945          Vardas945           7         9         
Pavarde946          Vardas946           7         3         
Pavarde947          Vardas947           6         7         
Pavarde948          Vardas948           10        7         
Pavarde949          Vardas949           4         6         
Pavarde950          Vardas950           2         8         
Pavarde951          Vardas951           4         10        
Pavarde952          Vardas952           2         9         
Pavarde953          Vardas953           3         2         
Pavarde954          Vardas954           7         6         
Pavarde955          Vardas955           7         5         
Pavarde956          Vardas956           5         4         
Pavarde957          Vardas957           2         3         
Pavarde958          Vardas958           10        5         
Pavarde959          Vardas959           6         8         
Pavarde960          Vardas960           10        5         
Pavarde961          Vardas961           8         10        
Pavarde962          Vardas962           4         1         
Pavarde963          Vardas963           5         1         
Pavarde964          Vardas964           2         5         
Pavarde965          Vardas965           8         1         
Pavarde966          Vardas966           7         6         
Pavarde967          Vardas967           3         8         
Pavarde968          Vardas968           1         4         
Pavarde969          Vardas969           3         1         
Pavarde970          Vardas970           2         3         
Pavarde971          Vardas971           5         3         
Pavarde972          Vardas972           2         10        
Pavarde973          Vardas973           8         6         
Pavarde974          Vardas974           6         5         
Pavarde975          Vardas975           2         5         
Pavarde976          Vardas976           10        1         
Pavarde977          Vardas977           8         3         
Pavarde978          Vardas978           8         5         
Pavarde979          Vardas979           1         5         
Pavarde980          Vardas980           2         9         
Pavarde981          Vardas981           3         10        
Pavarde982          Vardas982           2         9         
Pavarde983          Vardas983           3         10        
Pavarde984          Vardas984           8         3         
Pavarde985          Vardas985           8         2         
Pavarde986          Vardas986           8         2         
Pavarde987          Vardas987           1         6         
Pavarde988          Vardas988           6         8         
Pavarde989          Vardas989           4         2         
Pavarde990          Vardas990           5         4         
Pavarde991          Vardas991           4         7         
Pavarde992          Vardas992           9         7         
Pavarde993          Vardas993           7         4         
Pavarde994          Vardas994           8         4         
Pavarde995          Vardas995           4         6         
Pavarde996          Vardas996           9         4         
Pavarde997          Vardas997           10        4         
Pavarde998          Vardas998           1         5         
Pavarde999          Vardas999           10        9         
Pavarde1000         Vardas1000          2         3         
