Pavarde             Vardas              Nd1       Egzaminas 
Pavarde2074         Vardas2074          3         4         
Pavarde2075         Vardas2075          10        2         
Pavarde2076         Vardas2076          2         6         
Pavarde2077         Vardas2077          5         1         
Pavarde2078         Vardas2078          3         2         
Pavarde2079         Vardas2079          2         8         
Pavarde2080         Vardas2080          1         3         
Pavarde2081         Vardas2081          5         8         
Pavarde2082         Vardas2082          10        10        
Pavarde2083         Vardas2083          2         6         
Pavarde2084         Vardas2084          3         7         
Pavarde2085         Vardas2085          9         7         
Pavarde2086         Vardas2086          4         5         
Pavarde2087         Vardas2087          2         8         
Pavarde2088         Vardas2088          3         8         
Pavarde2089         Vardas2089          5         3         
Pavarde2090         Vardas2090          2         6         
Pavarde2091         Vardas2091          10        3         
Pavarde2092         Vardas2092          1         4         
Pavarde2093         Vardas2093          3         7         
Pavarde2094         Vardas2094          8         3         
Pavarde2095         Vardas2095          9         10        
Pavarde2096         Vardas2096          7         10        
Pavarde2097         Vardas2097          6         4         
Pavarde2098         Vardas2098          5         6         
Pavarde2099         Vardas2099          8         3         
Pavarde2100         Vardas2100          9         3         
Pavarde2101         Vardas2101          4         8         
Pavarde2102         Vardas2102          10        3         
Pavarde2103         Vardas2103          7         9         
Pavarde2104         Vardas2104          8         9         
Pavarde2105         Vardas2105          10        4         
Pavarde2106         Vardas2106          9         10        
Pavarde2107         Vardas2107          7         6         
Pavarde2108         Vardas2108          8         9         
Pavarde2109         Vardas2109          8         2         
Pavarde2110         Vardas2110          9         7         
Pavarde2111         Vardas2111          7         4         
Pavarde2112         Vardas2112          5         7         
Pavarde2113         Vardas2113          1         6         
Pavarde2114         Vardas2114          5         8         
Pavarde2115         Vardas2115          1         7         
Pavarde2116         Vardas2116          8         6         
Pavarde2117         Vardas2117          10        2         
Pavarde2118         Vardas2118          6         6         
Pavarde2119         Vardas2119          8         3         
Pavarde2120         Vardas2120          5         2         
Pavarde2121         Vardas2121          1         6         
Pavarde2122         Vardas2122          5         9         
Pavarde2123         Vardas2123          9         5         
Pavarde2124         Vardas2124          2         10        
Pavarde2125         Vardas2125          5         6         
Pavarde2126         Vardas2126          8         9         
Pavarde2127         Vardas2127          6         5         
Pavarde2128         Vardas2128          8         9         
Pavarde2129         Vardas2129          6         3         
Pavarde2130         Vardas2130          9         3         
Pavarde2131         Vardas2131          2         4         
Pavarde2132         Vardas2132          6         6         
Pavarde2133         Vardas2133          4         9         
Pavarde2134         Vardas2134          3         8         
Pavarde2135         Vardas2135          9         8         
Pavarde2136         Vardas2136          9         3         
Pavarde2137         Vardas2137          2         5         
Pavarde2138         Vardas2138          5         5         
Pavarde2139         Vardas2139          10        6         
Pavarde2140         Vardas2140          10        6         
Pavarde2141         Vardas2141          4         2         
Pavarde2142         Vardas2142          2         5         
Pavarde2143         Vardas2143          6         10        
Pavarde2144         Vardas2144          10        5         
Pavarde2145         Vardas2145          9         5         
Pavarde2146         Vardas2146          1         6         
Pavarde2147         Vardas2147          4         10        
Pavarde2148         Vardas2148          8         1         
Pavarde2149         Vardas2149          6         4         
Pavarde2150         Vardas2150          8         9         
Pavarde2151         Vardas2151          7         7         
Pavarde2152         Vardas2152          7         9         
Pavarde2153         Vardas2153          7         9         
Pavarde2154         Vardas2154          6         1         
Pavarde2155         Vardas2155          1         6         
Pavarde2156         Vardas2156          9         1         
Pavarde2157         Vardas2157          1         2         
Pavarde2158         Vardas2158          9         7         
Pavarde2159         Vardas2159          7         1         
Pavarde2160         Vardas2160          8         3         
Pavarde2161         Vardas2161          10        2         
Pavarde2162         Vardas2162          4         7         
Pavarde2163         Vardas2163          8         4         
Pavarde2164         Vardas2164          7         2         
Pavarde2165         Vardas2165          9         5         
Pavarde2166         Vardas2166          8         1         
Pavarde2167         Vardas2167          7         10        
Pavarde2168         Vardas2168          6         1         
Pavarde2169         Vardas2169          6         8         
Pavarde2170         Vardas2170          3         3         
Pavarde2171         Vardas2171          6         5         
Pavarde2172         Vardas2172          7         10        
Pavarde2173         Vardas2173          9         6         
Pavarde2174         Vardas2174          4         8         
Pavarde2175         Vardas2175          6         2         
Pavarde2176         Vardas2176          3         10        
Pavarde2177         Vardas2177          1         5         
Pavarde2178         Vardas2178          4         7         
Pavarde2179         Vardas2179          2         7         
Pavarde2180         Vardas2180          4         2         
Pavarde2181         Vardas2181          1         7         
Pavarde2182         Vardas2182          9         6         
Pavarde2183         Vardas2183          3         3         
Pavarde2184         Vardas2184          9         1         
Pavarde2185         Vardas2185          1         4         
Pavarde2186         Vardas2186          1         10        
Pavarde2187         Vardas2187          10        9         
Pavarde2188         Vardas2188          2         9         
Pavarde2189         Vardas2189          2         8         
Pavarde2190         Vardas2190          6         3         
Pavarde2191         Vardas2191          3         1         
Pavarde2192         Vardas2192          5         2         
Pavarde2193         Vardas2193          3         4         
Pavarde2194         Vardas2194          4         3         
Pavarde2195         Vardas2195          1         1         
Pavarde2196         Vardas2196          4         4         
Pavarde2197         Vardas2197          5         10        
Pavarde2198         Vardas2198          6         5         
Pavarde2199         Vardas2199          10        5         
Pavarde2200         Vardas2200          1         4         
Pavarde2201         Vardas2201          9         9         
Pavarde2202         Vardas2202          4         5         
Pavarde2203         Vardas2203          4         5         
Pavarde2204         Vardas2204          6         3         
Pavarde2205         Vardas2205          3         9         
Pavarde2206         Vardas2206          6         2         
Pavarde2207         Vardas2207          9         10        
Pavarde2208         Vardas2208          10        8         
Pavarde2209         Vardas2209          10        4         
Pavarde2210         Vardas2210          9         3         
Pavarde2211         Vardas2211          1         4         
Pavarde2212         Vardas2212          6         9         
Pavarde2213         Vardas2213          10        10        
Pavarde2214         Vardas2214          3         5         
Pavarde2215         Vardas2215          4         4         
Pavarde2216         Vardas2216          5         6         
Pavarde2217         Vardas2217          4         2         
Pavarde2218         Vardas2218          5         1         
Pavarde2219         Vardas2219          2         10        
Pavarde2220         Vardas2220          4         3         
Pavarde2221         Vardas2221          7         4         
Pavarde2222         Vardas2222          9         4         
Pavarde2223         Vardas2223          9         1         
Pavarde2224         Vardas2224          1         7         
Pavarde2225         Vardas2225          1         3         
Pavarde2226         Vardas2226          6         7         
Pavarde2227         Vardas2227          6         8         
Pavarde2228         Vardas2228          1         9         
Pavarde2229         Vardas2229          10        8         
Pavarde2230         Vardas2230          4         1         
Pavarde2231         Vardas2231          9         10        
Pavarde2232         Vardas2232          5         2         
Pavarde2233         Vardas2233          1         8         
Pavarde2234         Vardas2234          4         4         
Pavarde2235         Vardas2235          7         6         
Pavarde2236         Vardas2236          6         7         
Pavarde2237         Vardas2237          10        5         
Pavarde2238         Vardas2238          1         6         
Pavarde2239         Vardas2239          3         2         
Pavarde2240         Vardas2240          7         10        
Pavarde2241         Vardas2241          3         7         
Pavarde2242         Vardas2242          4         10        
Pavarde2243         Vardas2243          4         2         
Pavarde2244         Vardas2244          6         2         
Pavarde2245         Vardas2245          2         6         
Pavarde2246         Vardas2246          10        5         
Pavarde2247         Vardas2247          7         6         
Pavarde2248         Vardas2248          10        3         
Pavarde2249         Vardas2249          7         6         
Pavarde2250         Vardas2250          2         6         
Pavarde2251         Vardas2251          4         9         
Pavarde2252         Vardas2252          6         6         
Pavarde2253         Vardas2253          3         6         
Pavarde2254         Vardas2254          7         2         
Pavarde2255         Vardas2255          5         6         
Pavarde2256         Vardas2256          8         9         
Pavarde2257         Vardas2257          4         3         
Pavarde2258         Vardas2258          6         9         
Pavarde2259         Vardas2259          9         2         
Pavarde2260         Vardas2260          1         1         
Pavarde2261         Vardas2261          4         2         
Pavarde2262         Vardas2262          4         1         
Pavarde2263         Vardas2263          8         7         
Pavarde2264         Vardas2264          9         9         
Pavarde2265         Vardas2265          6         4         
Pavarde2266         Vardas2266          1         1         
Pavarde2267         Vardas2267          2         1         
Pavarde2268         Vardas2268          2         8         
Pavarde2269         Vardas2269          8         1         
Pavarde2270         Vardas2270          4         5         
Pavarde2271         Vardas2271          5         4         
Pavarde2272         Vardas2272          4         8         
Pavarde2273         Vardas2273          6         9         
Pavarde2274         Vardas2274          7         1         
Pavarde2275         Vardas2275          5         6         
Pavarde2276         Vardas2276          1         5         
Pavarde2277         Vardas2277          10        5         
Pavarde2278         Vardas2278          4         6         
Pavarde2279         Vardas2279          10        1         
Pavarde2280         Vardas2280          7         5         
Pavarde2281         Vardas2281          2         8         
Pavarde2282         Vardas2282          8         3         
Pavarde2283         Vardas2283          6         10        
Pavarde2284         Vardas2284          1         2         
Pavarde2285         Vardas2285          2         3         
Pavarde2286         Vardas2286          7         6         
Pavarde2287         Vardas2287          9         8         
Pavarde2288         Vardas2288          10        1         
Pavarde2289         Vardas2289          9         6         
Pavarde2290         Vardas2290          3         9         
Pavarde2291         Vardas2291          8         7         
Pavarde2292         Vardas2292          5         10        
Pavarde2293         Vardas2293          9         5         
Pavarde2294         Vardas2294          10        5         
Pavarde2295         Vardas2295          3         6         
Pavarde2296         Vardas2296          5         8         
Pavarde2297         Vardas2297          1         7         
Pavarde2298         Vardas2298          2         10        
Pavarde2299         Vardas2299          6         5         
Pavarde2300         Vardas2300          3         5         
Pavarde2301         Vardas2301          3         7         
Pavarde2302         Vardas2302          8         1         
Pavarde2303         Vardas2303          2         2         
Pavarde2304         Vardas2304          6         2         
Pavarde2305         Vardas2305          1         6         
Pavarde2306         Vardas2306          3         9         
Pavarde2307         Vardas2307          6         7         
Pavarde2308         Vardas2308          6         3         
Pavarde2309         Vardas2309          3         2         
Pavarde2310         Vardas2310          3         9         
Pavarde2311         Vardas2311          8         4         
Pavarde2312         Vardas2312          6         8         
Pavarde2313         Vardas2313          9         9         
Pavarde2314         Vardas2314          1         7         
Pavarde2315         Vardas2315          1         5         
Pavarde2316         Vardas2316          7         7         
Pavarde2317         Vardas2317          3         9         
Pavarde2318         Vardas2318          7         9         
Pavarde2319         Vardas2319          10        7         
Pavarde2320         Vardas2320          1         9         
Pavarde2321         Vardas2321          3         5         
Pavarde2322         Vardas2322          8         7         
Pavarde2323         Vardas2323          8         1         
Pavarde2324         Vardas2324          9         1         
Pavarde2325         Vardas2325          2         1         
Pavarde2326         Vardas2326          9         10        
Pavarde2327         Vardas2327          9         4         
Pavarde2328         Vardas2328          3         8         
Pavarde2329         Vardas2329          7         4         
Pavarde2330         Vardas2330          8         3         
Pavarde2331         Vardas2331          5         4         
Pavarde2332         Vardas2332          7         3         
Pavarde2333         Vardas2333          10        3         
Pavarde2334         Vardas2334          6         1         
Pavarde2335         Vardas2335          2         7         
Pavarde2336         Vardas2336          2         7         
Pavarde2337         Vardas2337          5         4         
Pavarde2338         Vardas2338          3         8         
Pavarde2339         Vardas2339          4         9         
Pavarde2340         Vardas2340          7         10        
Pavarde2341         Vardas2341          8         10        
Pavarde2342         Vardas2342          5         8         
Pavarde2343         Vardas2343          1         8         
Pavarde2344         Vardas2344          6         5         
Pavarde2345         Vardas2345          3         1         
Pavarde2346         Vardas2346          9         9         
Pavarde2347         Vardas2347          5         10        
Pavarde2348         Vardas2348          10        10        
Pavarde2349         Vardas2349          4         5         
Pavarde2350         Vardas2350          5         9         
Pavarde2351         Vardas2351          4         4         
Pavarde2352         Vardas2352          8         7         
Pavarde2353         Vardas2353          3         1         
Pavarde2354         Vardas2354          3         9         
Pavarde2355         Vardas2355          8         7         
Pavarde2356         Vardas2356          3         3         
Pavarde2357         Vardas2357          9         2         
Pavarde2358         Vardas2358          4         3         
Pavarde2359         Vardas2359          9         4         
Pavarde2360         Vardas2360          4         5         
Pavarde2361         Vardas2361          9         8         
Pavarde2362         Vardas2362          1         5         
Pavarde2363         Vardas2363          1         6         
Pavarde2364         Vardas2364          9         4         
Pavarde2365         Vardas2365          1         10        
Pavarde2366         Vardas2366          7         1         
Pavarde2367         Vardas2367          1         3         
Pavarde2368         Vardas2368          6         2         
Pavarde2369         Vardas2369          10        8         
Pavarde2370         Vardas2370          9         10        
Pavarde2371         Vardas2371          2         8         
Pavarde2372         Vardas2372          7         9         
Pavarde2373         Vardas2373          10        7         
Pavarde2374         Vardas2374          5         7         
Pavarde2375         Vardas2375          3         7         
Pavarde2376         Vardas2376          6         10        
Pavarde2377         Vardas2377          9         4         
Pavarde2378         Vardas2378          4         9         
Pavarde2379         Vardas2379          10        10        
Pavarde2380         Vardas2380          7         10        
Pavarde2381         Vardas2381          3         6         
Pavarde2382         Vardas2382          10        8         
Pavarde2383         Vardas2383          1         8         
Pavarde2384         Vardas2384          4         6         
Pavarde2385         Vardas2385          6         10        
Pavarde2386         Vardas2386          10        2         
Pavarde2387         Vardas2387          2         3         
Pavarde2388         Vardas2388          10        8         
Pavarde2389         Vardas2389          4         7         
Pavarde2390         Vardas2390          9         10        
Pavarde2391         Vardas2391          9         7         
Pavarde2392         Vardas2392          9         7         
Pavarde2393         Vardas2393          9         3         
Pavarde2394         Vardas2394          3         2         
Pavarde2395         Vardas2395          7         8         
Pavarde2396         Vardas2396          9         1         
Pavarde2397         Vardas2397          7         5         
Pavarde2398         Vardas2398          1         1         
Pavarde2399         Vardas2399          8         3         
Pavarde2400         Vardas2400          1         7         
Pavarde2401         Vardas2401          4         3         
Pavarde2402         Vardas2402          10        2         
Pavarde2403         Vardas2403          4         2         
Pavarde2404         Vardas2404          3         5         
Pavarde2405         Vardas2405          1         9         
Pavarde2406         Vardas2406          1         4         
Pavarde2407         Vardas2407          1         3         
Pavarde2408         Vardas2408          2         1         
Pavarde2409         Vardas2409          3         1         
Pavarde2410         Vardas2410          7         9         
Pavarde2411         Vardas2411          10        7         
Pavarde2412         Vardas2412          4         7         
Pavarde2413         Vardas2413          3         10        
Pavarde2414         Vardas2414          8         5         
Pavarde2415         Vardas2415          9         1         
Pavarde2416         Vardas2416          5         8         
Pavarde2417         Vardas2417          1         3         
Pavarde2418         Vardas2418          8         8         
Pavarde2419         Vardas2419          8         6         
Pavarde2420         Vardas2420          5         7         
Pavarde2421         Vardas2421          6         3         
Pavarde2422         Vardas2422          10        7         
Pavarde2423         Vardas2423          3         3         
Pavarde2424         Vardas2424          8         9         
Pavarde2425         Vardas2425          1         1         
Pavarde2426         Vardas2426          7         3         
Pavarde2427         Vardas2427          6         5         
Pavarde2428         Vardas2428          5         7         
Pavarde2429         Vardas2429          9         3         
Pavarde2430         Vardas2430          1         8         
Pavarde2431         Vardas2431          2         10        
Pavarde2432         Vardas2432          9         8         
Pavarde2433         Vardas2433          1         3         
Pavarde2434         Vardas2434          7         7         
Pavarde2435         Vardas2435          3         8         
Pavarde2436         Vardas2436          1         2         
Pavarde2437         Vardas2437          7         2         
Pavarde2438         Vardas2438          10        9         
Pavarde2439         Vardas2439          6         5         
Pavarde2440         Vardas2440          4         10        
Pavarde2441         Vardas2441          1         5         
Pavarde2442         Vardas2442          4         7         
Pavarde2443         Vardas2443          9         9         
Pavarde2444         Vardas2444          10        3         
Pavarde2445         Vardas2445          1         3         
Pavarde2446         Vardas2446          10        3         
Pavarde2447         Vardas2447          8         9         
Pavarde2448         Vardas2448          3         10        
Pavarde2449         Vardas2449          3         2         
Pavarde2450         Vardas2450          10        8         
Pavarde2451         Vardas2451          8         9         
Pavarde2452         Vardas2452          8         2         
Pavarde2453         Vardas2453          6         6         
Pavarde2454         Vardas2454          10        1         
Pavarde2455         Vardas2455          6         4         
Pavarde2456         Vardas2456          5         4         
Pavarde2457         Vardas2457          9         10        
Pavarde2458         Vardas2458          6         7         
Pavarde2459         Vardas2459          8         9         
Pavarde2460         Vardas2460          8         4         
Pavarde2461         Vardas2461          1         7         
Pavarde2462         Vardas2462          3         1         
Pavarde2463         Vardas2463          8         2         
Pavarde2464         Vardas2464          8         6         
Pavarde2465         Vardas2465          5         6         
Pavarde2466         Vardas2466          4         7         
Pavarde2467         Vardas2467          3         9         
Pavarde2468         Vardas2468          5         4         
Pavarde2469         Vardas2469          7         3         
Pavarde2470         Vardas2470          8         10        
Pavarde2471         Vardas2471          3         2         
Pavarde2472         Vardas2472          10        1         
Pavarde2473         Vardas2473          2         4         
Pavarde2474         Vardas2474          10        3         
Pavarde2475         Vardas2475          1         9         
Pavarde2476         Vardas2476          8         7         
Pavarde2477         Vardas2477          5         4         
Pavarde2478         Vardas2478          3         2         
Pavarde2479         Vardas2479          4         9         
Pavarde2480         Vardas2480          9         6         
Pavarde2481         Vardas2481          2         3         
Pavarde2482         Vardas2482          8         6         
Pavarde2483         Vardas2483          7         7         
Pavarde2484         Vardas2484          3         3         
Pavarde2485         Vardas2485          2         10        
Pavarde2486         Vardas2486          4         1         
Pavarde2487         Vardas2487          1         2         
Pavarde2488         Vardas2488          7         10        
Pavarde2489         Vardas2489          6         3         
Pavarde2490         Vardas2490          2         8         
Pavarde2491         Vardas2491          9         10        
Pavarde2492         Vardas2492          5         4         
Pavarde2493         Vardas2493          1         2         
Pavarde2494         Vardas2494          3         9         
Pavarde2495         Vardas2495          1         7         
Pavarde2496         Vardas2496          7         8         
Pavarde2497         Vardas2497          2         7         
Pavarde2498         Vardas2498          3         6         
Pavarde2499         Vardas2499          6         7         
Pavarde2500         Vardas2500          9         4         
Pavarde2501         Vardas2501          8         5         
Pavarde2502         Vardas2502          3         6         
Pavarde2503         Vardas2503          6         10        
Pavarde2504         Vardas2504          1         10        
Pavarde2505         Vardas2505          9         4         
Pavarde2506         Vardas2506          10        5         
Pavarde2507         Vardas2507          3         2         
Pavarde2508         Vardas2508          6         2         
Pavarde2509         Vardas2509          7         9         
Pavarde2510         Vardas2510          2         10        
Pavarde2511         Vardas2511          6         2         
Pavarde2512         Vardas2512          7         4         
Pavarde2513         Vardas2513          3         8         
Pavarde2514         Vardas2514          10        8         
Pavarde2515         Vardas2515          2         9         
Pavarde2516         Vardas2516          5         5         
Pavarde2517         Vardas2517          1         8         
Pavarde2518         Vardas2518          4         1         
Pavarde2519         Vardas2519          6         8         
Pavarde2520         Vardas2520          7         3         
Pavarde2521         Vardas2521          7         5         
Pavarde2522         Vardas2522          7         6         
Pavarde2523         Vardas2523          10        1         
Pavarde2524         Vardas2524          6         3         
Pavarde2525         Vardas2525          5         5         
Pavarde2526         Vardas2526          8         8         
Pavarde2527         Vardas2527          6         3         
Pavarde2528         Vardas2528          3         4         
Pavarde2529         Vardas2529          7         10        
Pavarde2530         Vardas2530          10        9         
Pavarde2531         Vardas2531          2         6         
Pavarde2532         Vardas2532          2         6         
Pavarde2533         Vardas2533          10        8         
Pavarde2534         Vardas2534          1         9         
Pavarde2535         Vardas2535          5         1         
Pavarde2536         Vardas2536          2         2         
Pavarde2537         Vardas2537          8         2         
Pavarde2538         Vardas2538          10        8         
Pavarde2539         Vardas2539          9         10        
Pavarde2540         Vardas2540          10        2         
Pavarde2541         Vardas2541          6         9         
Pavarde2542         Vardas2542          2         10        
Pavarde2543         Vardas2543          2         6         
Pavarde2544         Vardas2544          4         10        
Pavarde2545         Vardas2545          4         5         
Pavarde2546         Vardas2546          1         1         
Pavarde2547         Vardas2547          8         8         
Pavarde2548         Vardas2548          5         7         
Pavarde2549         Vardas2549          3         5         
Pavarde2550         Vardas2550          8         9         
Pavarde2551         Vardas2551          1         5         
Pavarde2552         Vardas2552          7         4         
Pavarde2553         Vardas2553          4         9         
Pavarde2554         Vardas2554          7         5         
Pavarde2555         Vardas2555          4         5         
Pavarde2556         Vardas2556          9         10        
Pavarde2557         Vardas2557          10        10        
Pavarde2558         Vardas2558          1         8         
Pavarde2559         Vardas2559          2         9         
Pavarde2560         Vardas2560          3         8         
Pavarde2561         Vardas2561          3         1         
Pavarde2562         Vardas2562          8         9         
Pavarde2563         Vardas2563          9         9         
Pavarde2564         Vardas2564          7         5         
Pavarde2565         Vardas2565          7         5         
Pavarde2566         Vardas2566          10        6         
Pavarde2567         Vardas2567          6         2         
Pavarde2568         Vardas2568          5         9         
Pavarde2569         Vardas2569          7         5         
Pavarde2570         Vardas2570          4         6         
Pavarde2571         Vardas2571          8         10        
Pavarde2572         Vardas2572          8         3         
Pavarde2573         Vardas2573          9         5         
Pavarde2574         Vardas2574          6         4         
Pavarde2575         Vardas2575          1         7         
Pavarde2576         Vardas2576          5         10        
Pavarde2577         Vardas2577          3         6         
Pavarde2578         Vardas2578          10        2         
Pavarde2579         Vardas2579          3         1         
Pavarde2580         Vardas2580          5         10        
Pavarde2581         Vardas2581          10        3         
Pavarde2582         Vardas2582          9         2         
Pavarde2583         Vardas2583          3         1         
Pavarde2584         Vardas2584          5         3         
Pavarde2585         Vardas2585          2         7         
Pavarde2586         Vardas2586          10        8         
Pavarde2587         Vardas2587          3         2         
Pavarde2588         Vardas2588          7         10        
Pavarde2589         Vardas2589          3         10        
Pavarde2590         Vardas2590          10        3         
Pavarde2591         Vardas2591          3         2         
Pavarde2592         Vardas2592          2         5         
Pavarde2593         Vardas2593          8         8         
Pavarde2594         Vardas2594          2         8         
Pavarde2595         Vardas2595          5         9         
Pavarde2596         Vardas2596          10        6         
Pavarde2597         Vardas2597          10        5         
Pavarde2598         Vardas2598          4         6         
Pavarde2599         Vardas2599          10        3         
Pavarde2600         Vardas2600          3         9         
Pavarde2601         Vardas2601          1         9         
Pavarde2602         Vardas2602          4         5         
Pavarde2603         Vardas2603          8         5         
Pavarde2604         Vardas2604          7         4         
Pavarde2605         Vardas2605          6         10        
Pavarde2606         Vardas2606          5         8         
Pavarde2607         Vardas2607          10        8         
Pavarde2608         Vardas2608          2         8         
Pavarde2609         Vardas2609          9         6         
Pavarde2610         Vardas2610          9         4         
Pavarde2611         Vardas2611          1         4         
Pavarde2612         Vardas2612          7         7         
Pavarde2613         Vardas2613          2         4         
Pavarde2614         Vardas2614          10        7         
Pavarde2615         Vardas2615          6         8         
Pavarde2616         Vardas2616          4         7         
Pavarde2617         Vardas2617          4         7         
Pavarde2618         Vardas2618          10        8         
Pavarde2619         Vardas2619          1         6         
Pavarde2620         Vardas2620          5         5         
Pavarde2621         Vardas2621          2         9         
Pavarde2622         Vardas2622          8         8         
Pavarde2623         Vardas2623          4         6         
Pavarde2624         Vardas2624          1         6         
Pavarde2625         Vardas2625          2         9         
Pavarde2626         Vardas2626          4         2         
Pavarde2627         Vardas2627          1         10        
Pavarde2628         Vardas2628          6         10        
Pavarde2629         Vardas2629          5         10        
Pavarde2630         Vardas2630          4         1         
Pavarde2631         Vardas2631          6         2         
Pavarde2632         Vardas2632          1         5         
Pavarde2633         Vardas2633          9         10        
Pavarde2634         Vardas2634          3         10        
Pavarde2635         Vardas2635          1         1         
Pavarde2636         Vardas2636          2         4         
Pavarde2637         Vardas2637          7         7         
Pavarde2638         Vardas2638          1         8         
Pavarde2639         Vardas2639          1         4         
Pavarde2640         Vardas2640          1         3         
Pavarde2641         Vardas2641          5         1         
Pavarde2642         Vardas2642          10        7         
Pavarde2643         Vardas2643          3         1         
Pavarde2644         Vardas2644          8         9         
Pavarde2645         Vardas2645          9         5         
Pavarde2646         Vardas2646          7         1         
Pavarde2647         Vardas2647          7         1         
Pavarde2648         Vardas2648          7         3         
Pavarde2649         Vardas2649          4         10        
Pavarde2650         Vardas2650          9         6         
Pavarde2651         Vardas2651          1         8         
Pavarde2652         Vardas2652          3         8         
Pavarde2653         Vardas2653          10        7         
Pavarde2654         Vardas2654          3         4         
Pavarde2655         Vardas2655          1         4         
Pavarde2656         Vardas2656          3         6         
Pavarde2657         Vardas2657          6         8         
Pavarde2658         Vardas2658          9         4         
Pavarde2659         Vardas2659          1         4         
Pavarde2660         Vardas2660          1         6         
Pavarde2661         Vardas2661          5         10        
Pavarde2662         Vardas2662          4         7         
Pavarde2663         Vardas2663          10        9         
Pavarde2664         Vardas2664          3         2         
Pavarde2665         Vardas2665          1         9         
Pavarde2666         Vardas2666          8         4         
Pavarde2667         Vardas2667          9         2         
Pavarde2668         Vardas2668          10        3         
Pavarde2669         Vardas2669          9         7         
Pavarde2670         Vardas2670          2         8         
Pavarde2671         Vardas2671          6         1         
Pavarde2672         Vardas2672          7         5         
Pavarde2673         Vardas2673          1         3         
Pavarde2674         Vardas2674          2         3         
Pavarde2675         Vardas2675          9         9         
Pavarde2676         Vardas2676          5         5         
Pavarde2677         Vardas2677          3         7         
Pavarde2678         Vardas2678          6         9         
Pavarde2679         Vardas2679          5         7         
Pavarde2680         Vardas2680          10        6         
Pavarde2681         Vardas2681          4         2         
Pavarde2682         Vardas2682          4         6         
Pavarde2683         Vardas2683          4         1         
Pavarde2684         Vardas2684          2         2         
Pavarde2685         Vardas2685          8         3         
Pavarde2686         Vardas2686          1         3         
Pavarde2687         Vardas2687          10        9         
Pavarde2688         Vardas2688          8         8         
Pavarde2689         Vardas2689          8         6         
Pavarde2690         Vardas2690          9         8         
Pavarde2691         Vardas2691          1         6         
Pavarde2692         Vardas2692          9         1         
Pavarde2693         Vardas2693          1         7         
Pavarde2694         Vardas2694          5         4         
Pavarde2695         Vardas2695          3         10        
Pavarde2696         Vardas2696          9         6         
Pavarde2697         Vardas2697          9         7         
Pavarde2698         Vardas2698          10        3         
Pavarde2699         Vardas2699          8         10        
Pavarde2700         Vardas2700          7         3         
Pavarde2701         Vardas2701          7         5         
Pavarde2702         Vardas2702          7         6         
Pavarde2703         Vardas2703          9         5         
Pavarde2704         Vardas2704          7         9         
Pavarde2705         Vardas2705          5         9         
Pavarde2706         Vardas2706          9         4         
Pavarde2707         Vardas2707          2         6         
Pavarde2708         Vardas2708          8         3         
Pavarde2709         Vardas2709          3         6         
Pavarde2710         Vardas2710          6         10        
Pavarde2711         Vardas2711          2         10        
Pavarde2712         Vardas2712          9         7         
Pavarde2713         Vardas2713          10        8         
Pavarde2714         Vardas2714          10        8         
Pavarde2715         Vardas2715          2         3         
Pavarde2716         Vardas2716          8         9         
Pavarde2717         Vardas2717          10        6         
Pavarde2718         Vardas2718          5         4         
Pavarde2719         Vardas2719          8         3         
Pavarde2720         Vardas2720          5         7         
Pavarde2721         Vardas2721          9         2         
Pavarde2722         Vardas2722          10        7         
Pavarde2723         Vardas2723          4         7         
Pavarde2724         Vardas2724          8         6         
Pavarde2725         Vardas2725          7         2         
Pavarde2726         Vardas2726          7         3         
Pavarde2727         Vardas2727          3         9         
Pavarde2728         Vardas2728          6         8         
Pavarde2729         Vardas2729          4         4         
Pavarde2730         Vardas2730          7         3         
Pavarde2731         Vardas2731          2         4         
Pavarde2732         Vardas2732          1         5         
Pavarde2733         Vardas2733          3         9         
Pavarde2734         Vardas2734          10        7         
Pavarde2735         Vardas2735          5         9         
Pavarde2736         Vardas2736          1         2         
Pavarde2737         Vardas2737          4         6         
Pavarde2738         Vardas2738          10        9         
Pavarde2739         Vardas2739          3         3         
Pavarde2740         Vardas2740          3         8         
Pavarde2741         Vardas2741          9         10        
Pavarde2742         Vardas2742          7         1         
Pavarde2743         Vardas2743          4         1         
Pavarde2744         Vardas2744          9         9         
Pavarde2745         Vardas2745          5         8         
Pavarde2746         Vardas2746          5         5         
Pavarde2747         Vardas2747          9         2         
Pavarde2748         Vardas2748          1         3         
Pavarde2749         Vardas2749          4         6         
Pavarde2750         Vardas2750          2         1         
Pavarde2751         Vardas2751          10        8         
Pavarde2752         Vardas2752          6         2         
Pavarde2753         Vardas2753          2         4         
Pavarde2754         Vardas2754          5         6         
Pavarde2755         Vardas2755          3         1         
Pavarde2756         Vardas2756          8         9         
Pavarde2757         Vardas2757          5         6         
Pavarde2758         Vardas2758          2         5         
Pavarde2759         Vardas2759          8         9         
Pavarde2760         Vardas2760          4         4         
Pavarde2761         Vardas2761          7         3         
Pavarde2762         Vardas2762          3         7         
Pavarde2763         Vardas2763          8         5         
Pavarde2764         Vardas2764          7         6         
Pavarde2765         Vardas2765          1         3         
Pavarde2766         Vardas2766          6         4         
Pavarde2767         Vardas2767          5         10        
Pavarde2768         Vardas2768          7         4         
Pavarde2769         Vardas2769          5         10        
Pavarde2770         Vardas2770          10        1         
Pavarde2771         Vardas2771          4         9         
